|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       5 |        7500 |       05:02:57 |         1.30 |              |       0.8472 |              |      1.0000e-07 |
|       5 |        7550 |       05:04:30 |         0.75 |              |       0.2815 |              |      1.0000e-07 |
|       5 |        7600 |       05:06:03 |         1.07 |              |       0.5674 |              |      1.0000e-07 |
|       5 |        7650 |       05:07:37 |         1.15 |              |       0.6558 |              |      1.0000e-07 |
|       5 |        7700 |       05:09:10 |         0.80 |              |       0.3214 |              |      1.0000e-07 |
|       5 |        7750 |       05:10:43 |         1.42 |              |       1.0096 |              |      1.0000e-07 |
|       5 |        7800 |       05:16:36 |         1.58 |         1.30 |       1.2540 |       0.8510 |      1.0000e-07 |
|       5 |        7850 |       05:18:11 |         1.30 |              |       0.8471 |              |      1.0000e-07 |
|       5 |        7900 |       05:19:45 |         1.39 |              |       0.9620 |              |      1.0000e-07 |
|       5 |        7950 |       05:21:19 |         0.86 |              |       0.3674 |              |      1.0000e-07 |
|       5 |        8000 |       05:22:52 |         1.01 |              |       0.5093 |              |      1.0000e-07 |
|       5 |        8050 |       05:24:26 |         1.38 |              |       0.9474 |              |      1.0000e-07 |
|       5 |        8100 |       05:26:00 |         1.12 |              |       0.6238 |              |      1.0000e-07 |
|       5 |        8150 |       05:27:34 |         1.34 |              |       0.9037 |              |      1.0000e-07 |
|       5 |        8200 |       05:29:08 |         1.45 |              |       1.0561 |              |      1.0000e-07 |
|       5 |        8250 |       05:30:43 |         1.10 |              |       0.6053 |              |      1.0000e-07 |
|       5 |        8300 |       05:32:17 |         1.27 |              |       0.8040 |              |      1.0000e-07 |
|       5 |        8350 |       05:33:51 |         1.32 |              |       0.8683 |              |      1.0000e-07 |
|       5 |        8400 |       05:39:43 |         0.78 |         1.30 |       0.3012 |       0.8493 |      1.0000e-07 |
|       5 |        8450 |       05:41:18 |         1.00 |              |       0.4966 |              |      1.0000e-07 |
|       5 |        8500 |       05:42:52 |         1.51 |              |       1.1397 |              |      1.0000e-07 |
|       5 |        8550 |       05:44:27 |         1.28 |              |       0.8190 |              |      1.0000e-07 |
|       5 |        8600 |       05:46:00 |         1.59 |              |       1.2642 |              |      1.0000e-07 |
|       5 |        8650 |       05:47:34 |         1.40 |              |       0.9810 |              |      1.0000e-07 |
|       5 |        8700 |       05:49:09 |         1.32 |              |       0.8767 |              |      1.0000e-07 |
|       5 |        8750 |       05:50:42 |         1.56 |              |       1.2199 |              |      1.0000e-07 |
|       5 |        8800 |       05:52:16 |         1.29 |              |       0.8350 |              |      1.0000e-07 |
|       5 |        8850 |       05:53:50 |         1.48 |              |       1.0887 |              |      1.0000e-07 |
|       5 |        8900 |       05:55:24 |         1.36 |              |       0.9222 |              |      1.0000e-07 |
|       5 |        8950 |       05:56:58 |         1.49 |              |       1.1133 |              |      1.0000e-07 |
|       5 |        9000 |       06:02:48 |         1.68 |         1.30 |       1.4145 |       0.8473 |      1.0000e-07 |
|       6 |        9050 |       06:04:26 |         1.15 |              |       0.6632 |              |      1.0000e-07 |
|       6 |        9100 |       06:06:00 |         1.41 |              |       0.9890 |              |      1.0000e-07 |
|       6 |        9150 |       06:07:35 |         1.18 |              |       0.6980 |              |      1.0000e-07 |
|       6 |        9200 |       06:09:09 |         1.44 |              |       1.0377 |              |      1.0000e-07 |
|       6 |        9250 |       06:10:44 |         1.79 |              |       1.5979 |              |      1.0000e-07 |
|       6 |        9300 |       06:12:18 |         1.90 |              |       1.8027 |              |      1.0000e-07 |
|       6 |        9350 |       06:13:53 |         1.19 |              |       0.7031 |              |      1.0000e-07 |
|       6 |        9400 |       06:15:27 |         1.35 |              |       0.9082 |              |      1.0000e-07 |
|       6 |        9450 |       06:17:01 |         1.70 |              |       1.4414 |              |      1.0000e-07 |
|       6 |        9500 |       06:18:36 |         1.60 |              |       1.2793 |              |      1.0000e-07 |
|       6 |        9550 |       06:20:11 |         1.72 |              |       1.4745 |              |      1.0000e-07 |
|       6 |        9600 |       06:26:04 |         1.11 |         1.30 |       0.6196 |       0.8447 |      1.0000e-07 |
|       6 |        9650 |       06:27:40 |         1.65 |              |       1.3694 |              |      1.0000e-07 |
|       6 |        9700 |       06:29:14 |         1.13 |              |       0.6332 |              |      1.0000e-07 |
|       6 |        9750 |       06:30:49 |         1.82 |              |       1.6505 |              |      1.0000e-07 |
|       6 |        9800 |       06:32:23 |         1.38 |              |       0.9462 |              |      1.0000e-07 |
|       6 |        9850 |       06:33:58 |         1.79 |              |       1.6088 |              |      1.0000e-07 |
|       6 |        9900 |       06:35:32 |         1.07 |              |       0.5757 |              |      1.0000e-07 |
|       6 |        9950 |       06:37:07 |         1.36 |              |       0.9308 |              |      1.0000e-07 |
|       6 |       10000 |       06:38:41 |         1.20 |              |       0.7146 |              |      1.0000e-07 |
|       6 |       10050 |       06:40:15 |         0.91 |              |       0.4165 |              |      1.0000e-07 |
|       6 |       10100 |       06:41:49 |         1.41 |              |       1.0010 |              |      1.0000e-07 |
|       6 |       10150 |       06:43:24 |         1.61 |              |       1.2931 |              |      1.0000e-07 |
|       6 |       10200 |       06:49:17 |         0.96 |         1.31 |       0.4627 |       0.8526 |      1.0000e-07 |
